"Company Name","Company Site","Company Industries","Report Link","Report Year","Mean Hourly Gap","Median Hourly Gap","Mean Bonus Gap","Median Bonus Gap","Mean Hourly Gap Part Time","Median Hourly Gap Part Time","Mean Hourly Gap Part Temp","Median Hourly Gap Part Temp","Percentage Bonus Paid Female","Percentage Bonus Paid Male","Percentage BIK Paid Female","Percentage BIK Paid Male","Q1 Female","Q1 Men","Q2 Female","Q2 Male","Q3 Female","Q3 Male","Q4 Female","Q4 Male","Percentage Employees Female","Percentage Employees Male"
eBay,http://www.ebay.ie/,"Technology,Software",https://static.ebayinc.com/assets/Uploads/Documents/2022-eBay-IRL-GPG-Report.pdf,2022,6.3,0.5,-4.6,3.5,-17.3,17.4,4.4,20.5,88,85,93,86,49.1,50.9,53.9,46.1,53.9,46.1,46.3,53.7,,
"Eddie Rocket's",https://www.eddierockets.ie/,"Hospitality,Restaurant",https://www.eddierockets.ie/wp-content/uploads/2022/12/ER154_1222-Eddie-Rockets-Gender-Pay-Gap-2022-v2.pdf,2022,-3.34,4.54,,,2.03,4.54,,,,,,,64.6,35.4,13.8,86.2,34.5,66.5,30,70,49.75,50.25
"Ei Electronics",https://www.eielectronics.ie/,"Technology,Hardware",https://www.eielectronics.ie/gender-pay-gap-analysis-at-ei-electronics-2022/,2022,23.3,0,18.6,-3.9,-1.9,0.6,-0.6,0,85.9,85.4,57.8,54.3,54,46,64,36,69,31,48,52,58.4,41.6
Eir,https://www.eir.ie/,Telecommunications,https://www.eir.ie/opencms/export/sites/default/.content/pdf/eir_Gender_Gap_Report_2022.pdf,2022,7.18,18.6,-37,-108,-2.18,3.8,5.64,11.55,80,85,25,50,34.55,65.45,20.73,79.27,13.97,86.03,18.42,81.58,22,78
EirGrid,https://www.eirgrid.ie/,Energy,https://www.eirgridgroup.com/site-files/library/EirGrid/Gender-Pay-Gap-Report.pdf,2022,12.4,16.2,10.6,15.9,-14.5,-2.7,,,89.1,89.5,22,31,41.7,58.3,35.7,64.3,24.3,75.7,26.1,73.9,32,68
Elavon,https://www.elavon.ie/,"Financial,Technology,Software",https://www.elavon.ie/content/dam/elavon/en-ie/documents/legal/897002-Ireland-Gender-Pay-Gap-Report_F.pdf,2022,22.8,24,33.4,44.4,24.6,24.2,35.5,37.8,90,90,90,88,65,35,58,42,42,58,35,65,,
"Eli Lilly: Cork",https://www.lilly.com/,Pharmaceutical,https://assets.ctfassets.net/r4uhiiu7kbc1/Nd4hooAaATyrMuDkMlAo9/d7cbc72f7f4cd05e55c98b8e49d3df53/Gender_Pay_Gap_-_Ireland_2022.pdf,2022,4.6,2,17.2,4.4,,,-8,0,67,61,87,80,68,32,71,29,73,27,64,36,69,31
"Eli Lilly: Kinsale",https://www.lilly.com/,Pharmaceutical,https://assets.ctfassets.net/r4uhiiu7kbc1/Nd4hooAaATyrMuDkMlAo9/d7cbc72f7f4cd05e55c98b8e49d3df53/Gender_Pay_Gap_-_Ireland_2022.pdf,2022,7.6,9.5,-9.6,12.7,-6.6,4.7,18.8,28.3,58,50,91,95,53,47,40,60,39,61,29,71,40,60
Elverys,https://www.elverys.ie/,Retail,https://www.elverys.ie/medias/Gender-Pay-Gap-Report-2022.pdf?context=bWFzdGVyfHJvb3R8MzI3Njk0fGFwcGxpY2F0aW9uL3BkZnxoZGQvaGJjLzEwOTcwMjIyMDAyMjA2L0dlbmRlcl9QYXlfR2FwX1JlcG9ydF8yMDIyLnBkZnw0YjdiYzEzZDczMTBjZThlZjg0YjBlMDY4M2ViNjRiNmIwMjlkNmZlZmI3YjJjZDE1ZDc2NzdlYTI2NWE1ZGJk,2022,1.26,-0.66,66.67,66.67,-3.29,-1.86,0,0,0.29,0.27,0.57,3.01,40.78,59.22,52.25,47.75,54.19,45.81,48.31,45.81,49,51
"Embecta Ireland",https://www.embecta.com/,"Technology,Hardware,Medical",https://investors.embecta.com/static-files/8f71e528-12e8-408b-9ee0-4fc2bc1a0477,2022,4.2,2.2,-22.6,0,,,29,31.9,79.3,94,86.2,95,31.4,68.6,9.8,90.2,14.8,85.2,15.7,84.3,18,82
"Enable Ireland",https://enableireland.ie/,Charity,https://enableireland.ie/sites/default/files/publication/Enable%20Ireland%20Gender%20Pay%20Gap%20Report.pdf,2022,-5.32,-15.49,0,0,-14.5,-12.78,0,0,,,,,80.49,19.51,85.37,14.63,91.99,8.01,86.06,13.94,85.98,14.02
Entain,https://www.entaingroup.com/,Gambling,https://www.entaingroup.com/media/ztrfmuma/entain-roi-gender-pay-gap-2022-final.pdf,2022,-2.2,-2.4,-33,5.9,,,,,43.2,36.2,,,66,34,59,41,56,44,63,37,,
"Enterprise Ireland",https://www.enterprise-ireland.com/en/,Government,https://www.enterprise-ireland.com/en/Publications/Reports-Published-Strategies/Gender-Pay-Gap-Report-2022.pdf,2022,18,25,,,-10,-8,28,4,,,,,66.8,33.12,76.47,23.53,52.98,47.02,38.64,61.54,59,41
